,ID_x,text,annotator,Not Determined,Equipment,Staff,Hygiene,Location,first_11,person,type,rating,first_7,ID_y
15,311,"As someone who have been in all FW's in Copenhagen, this place is by far the most horrid. Rude staff who seems like they hate their life. They lack a total grasp on how to give service (Talking ESPECIALLY the female ones). There is also ZERO atmosphere and place is very dirty and STINKS  utterly on each of its three (Small) floors . Just find another place than this, because this place is so outrageously bad it drains you from all motivation. Not exaggerating.",8413a258-Christian.csv,-1.0,,-1.0,-1.0,,as someone ,Christian,PureGym Copenhagen,1.0,as some,105.0
16,312,Good gym!,8413a258-Christian.csv,1.0,,,,,good gym!,Christian,PureGym Copenhagen,5.0,good gy,106.0
17,313,"Okay, it would however be really nice to have an indicator somewhere of how crowded it is. Also sometimes they play the music really loud (so loud that with headphones with noise cancelling even at the highest volume I can still hear it). Not even mentioning the music taste 😶.",8413a258-Christian.csv,-1.0,,,,,"okay, it wo",Christian,PureGym Copenhagen,3.0,"okay, i",107.0
18,315,"The fitness center has been improved in the last months. Still no classes though. Otherwise, it has all the needed facilities for full body training. Third floor is the best one! Free weights! :)",8413a258-Christian.csv,0.0,1.0,,,,the fitness,Christian,PureGym Copenhagen,4.0,the fit,109.0
19,318,"Not large, but never really crowded. The most spotless fitness club I've been to.... They are constantly cleaning and members take care of the equipment also.",8413a258-Christian.csv,1.0,,,1.0,,"not large, ",Christian,PureGym Copenhagen,5.0,not lar,112.0
20,319,"Good place, fun courses. However, some of the info is hard to access, as most of it is in Danish only. Sometimes courses get cancelled, and I do not receive a message about it, although I have signed up.",8413a258-Christian.csv,0.0,,,,,"good place,",Christian,PureGym Copenhagen,4.0,good pl,113.0
21,320,"Good fitness center with weekly memberships, perfect as a tourist. Many Courses and access to every center they have (and they have many in Copenhagen).",8413a258-Christian.csv,1.0,,,,,good fitnes,Christian,PureGym Copenhagen,5.0,good fi,114.0
22,321,"I think it's a great gym in regards to value price. Unfortunately there is no many branches. The gym is quite well equipped even with small basketball court, punch bag and paper towels. The whole gym has the urban vibe. I think it's good alternative to the well known ones in Denmark. The air ventilation does not seem to work properly, though.",8413a258-Christian.csv,0.0,1.0,,,,i think it',Christian,PureGym Copenhagen,5.0,i think,115.0
23,322,"One star just for the nice location. The service ended his shift 10mins early and completely ignored me and another costumer waiting on the counter. The machines are mostly so old, they must be from the 90s. Not recommendable.",8413a258-Christian.csv,,-1.0,-1.0,,1.0,one star ju,Christian,PureGym Copenhagen,2.0,one sta,116.0
24,324,Quite small. The free workout area is quite large,8413a258-Christian.csv,0.0,,,,,quite small,Christian,PureGym Copenhagen,3.0,quite s,118.0
25,325,"Great gym for the price and accessibility. Very well cleaned and maintained with all the equipment you would ever need. Large free training area, kettlebells, plenty of barbells and plates.",8413a258-Christian.csv,1.0,1.0,,1.0,,great gym f,Christian,PureGym Copenhagen,4.0,great g,119.0
26,327,Great gym. 7 day free pass was available for traveling,8413a258-Christian.csv,1.0,,,,,great gym. ,Christian,PureGym Copenhagen,5.0,great g,121.0
27,329,Best FW center I have been too. Really clean and functional. The equipment is new and everything is in one floor. The only cons are the lack of hold classes.,8413a258-Christian.csv,-1.0,1.0,,1.0,,best fw cen,Christian,PureGym Copenhagen,5.0,best fw,123.0
28,330,Great place quiet a lot of space and all equipments are present.,8413a258-Christian.csv,1.0,1.0,,,,great place,Christian,PureGym Copenhagen,4.0,great p,124.0
29,331,Please fix the gymnastic rings 🙏🙏 Otherwise decent gym.,8413a258-Christian.csv,1.0,-1.0,,,,please fix ,Christian,PureGym Copenhagen,2.0,please ,125.0
30,332,Weeks like this.,8413a258-Christian.csv,0.0,,,,,weeks like ,Christian,PureGym Copenhagen,1.0,weeks l,126.0
31,334,"Service has improved for the last 6 months, better management. However the audience that comes there is poor,  people are aggressive, taken several machines at once,  or sitting on one machine for ages prohibiting others from training, noisy, have no respect to others, often screaming . Needs some education on general public as many have no intelligence how to behave",8413a258-Christian.csv,-1.0,,1.0,,,service has,Christian,PureGym Copenhagen,1.0,service,128.0
32,336,"Fitness world interesting sports club  there is a variety of sports equipment, the staff are nice, you have to avoid peak hours because there is a queue for training, the problem that I found  there aren't all the information about roles of subscription, for example when you want to take a vacation you can freeze the month, or also if you want to unsubscribe this month you have to pay another month and it was the surprise for my case and all this information is not clear at the beginning. in my opinion it better that they give notes about all the ruls and the options with 2 languages Danish and English for be Easy for all people or put it on the wall in the reception",8413a258-Christian.csv,-1.0,1.0,1.0,,,fitness wor,Christian,PureGym Copenhagen,4.0,fitness,130.0
33,338,"Terrible customer service! I once been there as a guest to a class under a friend’s membership (+1 guest). I have never had a membership there and has never signed up for one, yet I have been receiving emails to pay 4 months with interest for late payment?! - and then they started sending me new emails on my e-Boks. Since when I have given you a consent to do so?? Every time I stop by the gym to raise this, there’s no one to ask. and there is no number associated with the gym to call!",8413a258-Christian.csv,-1.0,,-1.0,,,terrible cu,Christian,PureGym Copenhagen,1.0,terribl,132.0
34,341,Some of their machines are old and in need of maintenance. Their treadmills are in really bad state but as you can see on the picture a technician is on the way. Months and months has passed and no sign of this technician. If you tell the staff in the center or contact then on email they will say that the they have escalated this issue but the fact is the management don’t care. It will soon be a year with no repairs being made…,8413a258-Christian.csv,,-1.0,-1.0,,,some of the,Christian,PureGym Copenhagen,1.0,some of,135.0
35,343,Not the best I have been at but need some more times at the Gym before evaluating,8413a258-Christian.csv,0.0,,,,,not the bes,Christian,PureGym Copenhagen,2.0,not the,137.0
36,344,Good,8413a258-Christian.csv,1.0,,,,,good,Christian,PureGym Copenhagen,4.0,good,138.0
37,345,Few people，just do yourself and feel cozy……,8413a258-Christian.csv,1.0,,,,,few people，,Christian,PureGym Copenhagen,5.0,few peo,139.0
38,346,"newly renovated gym, with new and fresh equipment. the place is packed on evening, and perhaps because this is the best gym for the monthly fee in the area. Highly recommend",8413a258-Christian.csv,1.0,1.0,,,,newly renov,Christian,PureGym Copenhagen,5.0,newly r,140.0
39,347,"A decent gym. Huge, many machines of the same type, good condition.",8413a258-Christian.csv,1.0,1.0,,,,a decent gy,Christian,PureGym Copenhagen,5.0,a decen,141.0
40,348,One of the largest gyms I have ever seen with all the machines you can imagine and the staff are really nice and helpful. Never had a problem with cleanliness! Wide variety of classes are available.,8413a258-Christian.csv,1.0,1.0,1.0,1.0,,one of the ,Christian,PureGym Copenhagen,5.0,one of ,142.0
41,349,You managed to destroy what was a decent gym with a lot of equipment. It got transformed into a walking area with machines for old people and empty space. Embarrassing!,8413a258-Christian.csv,-1.0,-1.0,,,,you managed,Christian,PureGym Copenhagen,1.0,you man,143.0
42,350,Still no soap in the shower. And the pins for hanging up the towels are almost all broken.,8413a258-Christian.csv,-1.0,,,,,still no so,Christian,PureGym Copenhagen,4.0,still n,144.0
43,352,"Well it's there, pretty messy and the equipment has seen better days",8413a258-Christian.csv,,-1.0,,-1.0,,well it's t,Christian,PureGym Copenhagen,3.0,well it,146.0
44,353,"Best every, the location is perfect.",8413a258-Christian.csv,1.0,,,,1.0,"best every,",Christian,PureGym Copenhagen,5.0,best ev,147.0
45,354,Great,8413a258-Christian.csv,1.0,,,,,great,Christian,PureGym Copenhagen,5.0,great,148.0
46,355,"Okay gym, but lacking in many areas. Puregym on nørre voldgade fredericia has a lack of old and defective machines, a lack of cleaning and hand soap and the machine for all in is never filled. It is not acceptable with the 399 it costs for my type of abb",8413a258-Christian.csv,0.0,-1.0,,-1.0,,"okay gym, b",Christian,PureGym Copenhagen,2.0,okay gy,149.0
47,365,"Small, but well equipped fitness center.

SATS have a bunch of different spots in Copenhagen and if you don't like the size, there are always others.

Personally, I feel like this is one of the better, if you just want to get in and do a workout and get out. You'll rarely wait for a spot anywhere.

They have everything you need including 6 squat racks / power cages and a bunch of free weight stuff, cardio machines. The only thing lacking is team workout.

The changing rooms are good and spacious.

It does get extremely hot in the summer here, which is why I didn't give it 5 stars.",8413a258-Christian.csv,-1.0,1.0,,,1.0,"small, but ",Christian,SATS gym in Copenhagen,4.0,"small, ",159.0
48,424,"A nice training centre, with good opportunities for self-training with - or without the use of machines and for booking on different teams, if you want. There is a good atmosphere when you walk in the door, and it is my clear impression that the employees do their best to ensure that Sats - Rødovre continues to be a nice place to visit.",8413a258-Christian.csv,1.0,,1.0,,,a nice trai,Christian,SATS gym in Copenhagen,5.0,a nice ,218.0
49,491,Good place with proper equipment but horrible ventilation 😅 not good for summer 😅 but you can get to see nice views,8413a258-Christian.csv,0.0,1.0,,,,good place ,Christian,PureGym Aalborg,4.0,good pl,285.0
50,492,"It's okay, has its variety but could use 1-2 more machines",8413a258-Christian.csv,1.0,-1.0,,,,"it's okay, ",Christian,PureGym Aalborg,4.0,it's ok,286.0
51,493,"Big with most facilities, but almost always very crowded.",8413a258-Christian.csv,-1.0,1.0,,,,big with mo,Christian,PureGym Aalborg,4.0,big wit,287.0
52,494,Amazing place !!!,8413a258-Christian.csv,1.0,,,,,amazing pla,Christian,PureGym Aalborg,5.0,amazing,288.0
53,495,"Don't spend time or effort giving them constructive criticism even if they ask for clarification on the bad review of the center in their app because they are not willing to improve anything even though they claim they will do everything to improve. They just want to use long emails to basically say ""That's just how it is""... Not one of them I would train in permanently as they are pretty bad machines compared to other centers... There are others in Aalborg that are far better..",8413a258-Christian.csv,-1.0,-1.0,,,,don't spend,Christian,PureGym Aalborg,2.0,don't s,289.0
54,496,"Best gym in Aalborg city center!!! I have been training in this gym 5 times per week since 2015. Compare to other fitness world gym in Aalborg city center, this one is THE BEST. Always clean everywhere - machines, bathrooms, and even the training mat! Offers a lot of equipments, and many different training classes you can choose.",8413a258-Christian.csv,1.0,1.0,,1.0,,best gym in,Christian,PureGym Aalborg,5.0,best gy,290.0
55,497,Ever since it became Pure gym they removed all the hand sanitizer. Disgusting place,8413a258-Christian.csv,-1.0,,,-1.0,,ever since ,Christian,PureGym Aalborg,1.0,ever si,291.0
56,498,"Nice place, but can be quite crowded at times leading to extended waiting for the machine that you wish to use. The equipment itself is all good though.",8413a258-Christian.csv,0.0,1.0,,,,"nice place,",Christian,PureGym Aalborg,4.0,nice pl,292.0
57,500,"Amazing gym, and most lovely staff ever!",8413a258-Christian.csv,1.0,,1.0,,,amazing gym,Christian,PureGym Aalborg,5.0,amazing,294.0
58,501,"Have been coming here for 4-5 years. All around good gym, isn’t ever too packed, has a good amount of specifically the machines/equipment that is in high demand such as squat racks, benches, pulldown machines etc. but no fancy stuff, only “essential” standard equipment. Prices are also good for beginners but I think a little high if you’ve been training here for a while and there are no beginner benefits left.",8413a258-Christian.csv,0.0,1.0,,,,have been c,Christian,PureGym Aalborg,4.0,have be,295.0
59,502,Don’t like it at all. People who work there is never there.,8413a258-Christian.csv,-1.0,,-1.0,,,don’t like ,Christian,PureGym Aalborg,1.0,don’t l,296.0
60,503,"Been a memeber for 6 years. Great gym with a large space, not fully packed with all sorts of machines, but there are still enough machines. Really love it. The music is quiet too, though it could be a bit lowered on Sundays. Still, a great palce, love coming here :)",8413a258-Christian.csv,1.0,0.0,,,,been a meme,Christian,PureGym Aalborg,5.0,been a ,297.0
61,506,Great for the daily grind this or another fitness world workes wonders,8413a258-Christian.csv,1.0,,,,,great for t,Christian,PureGym Aalborg,5.0,great f,300.0
62,507,Everything I need !!! Thx,8413a258-Christian.csv,1.0,,,,,everything ,Christian,PureGym Aalborg,5.0,everyth,301.0
63,508,"Overall good center with proportionally good amount of machines compared to popularity. However, there is no hip thrust bench and only high benches, which means I have to go to another center for that exercise. dB is somewhat heavier than the other centers and the jumps between each weight are incredibly large at 2-3 kg. per steps. Bathing facilities could be better located. Nice and clean center which appears clearly. Lots of water points.",8413a258-Christian.csv,0.0,0.0,,1.0,,overall goo,Christian,PureGym Aalborg,3.0,overall,302.0
64,509,Good facilities and good energy from the movers.,8413a258-Christian.csv,1.0,,,,,good facili,Christian,PureGym Aalborg,5.0,good fa,303.0
65,510,always clean and attractive premises,8413a258-Christian.csv,1.0,,,1.0,,always clea,Christian,PureGym Aalborg,5.0,always ,304.0
66,511,This is one of the best centrres of Fitness world in Aalborg on the basis of the size and equipments,8413a258-Christian.csv,1.0,1.0,,,,this is one,Christian,PureGym Aalborg,5.0,this is,305.0
67,512,"This is from PureGym on Gugvej and Friis in Aalborg. They are some good and spacious centers with a lot of machines, so you don't feel like you are stalling during your training. On Gugvej there is good parking! Nice places.🤗",8413a258-Christian.csv,1.0,1.0,,,,this is fro,Christian,PureGym Aalborg,5.0,this is,306.0
68,514,"The training and the facilities are ok, but the last two times I've been there there has been a lack of toilet paper and/or paper towels in the men's changing room. The cleaning has not been ok either.",8413a258-Christian.csv,-1.0,1.0,,-1.0,,the trainin,Christian,PureGym Aalborg,3.0,the tra,308.0
69,515,Can't find a better place,8413a258-Christian.csv,1.0,,,,,can't find ,Christian,PureGym Aalborg,5.0,can't f,309.0
70,516,"A good, big center, with almost everything you could need.",8413a258-Christian.csv,1.0,1.0,,,,"a good, big",Christian,PureGym Aalborg,4.0,"a good,",310.0
71,517,Good service. Versatile options for training. Good mood. Room for everyone.,8413a258-Christian.csv,1.0,,1.0,,,good servic,Christian,PureGym Aalborg,5.0,good se,311.0
72,518,"Super good service, but I think there are too few bench press racks and too few toilets, this may well cause a lot of waiting time, there could also be more water dispensers around, with this the prices also start to become too high, otherwise a fine training place.",8413a258-Christian.csv,0.0,-1.0,1.0,,,super good ,Christian,PureGym Aalborg,3.0,super g,312.0
73,519,Too little space when it is busy and not enough machines. But otherwise I think there is a nice variety and the machines are in good condition,8413a258-Christian.csv,0.0,0.0,,,,too little ,Christian,PureGym Aalborg,4.0,too lit,313.0
74,520,"Bad parking conditions. Had to stop at Lidl and when I got to the center the door was locked - Normally it's not a problem, but this center apparently requires a special chip in the card that can only be obtained during opening hours. This was not stated on the website!",8413a258-Christian.csv,-1.0,,,,,bad parking,Christian,PureGym Aalborg,1.0,bad par,314.0
75,522,I really like training here. Everything is clean and in good conditions. The equipment is great; there are many options. The staff is very friendly and always makes you feel comfortable.,8413a258-Christian.csv,,1.0,1.0,1.0,,i really li,Christian,PureGym Aalborg,5.0,i reall,316.0
76,523,"Small and exclusive gym, One of the thing that pissed me most about it was that I wanted to use just the gym, which in all other gym from the Fitness world franchise cost 150 DKK, however this is not permitted and they require you to make a full membership for their gym and classes, even if you dont want to visit any of them, which is 250 DKK. As i said exclusive.",8413a258-Christian.csv,-1.0,,,,,small and e,Christian,PureGym Aalborg,3.0,small a,317.0
77,524,"Good center for training, one of the original centers in Aalborg.",8413a258-Christian.csv,1.0,,,,,good center,Christian,PureGym Aalborg,4.0,good ce,318.0
78,525,"This is the best fitnes. First it's close to me, second it is very big.",8413a258-Christian.csv,1.0,,,,1.0,this is the,Christian,PureGym Aalborg,5.0,this is,319.0
79,527,Very fine place,8413a258-Christian.csv,1.0,,,,,very fine p,Christian,PureGym Aalborg,5.0,very fi,321.0
80,528,It's good with less variety of equipments.,8413a258-Christian.csv,1.0,-1.0,,,,it's good w,Christian,PureGym Aalborg,4.0,it's go,322.0
81,529,They are trying to kill you! I guess that is the point..? :),8413a258-Christian.csv,-1.0,,,,,they are tr,Christian,PureGym Aalborg,5.0,they ar,323.0
82,530,A really spacious and organized gym,8413a258-Christian.csv,1.0,,,,,a really sp,Christian,PureGym Aalborg,5.0,a reall,324.0
83,531,Very nice gym…. Clean and well equipped…,8413a258-Christian.csv,,1.0,,1.0,,very nice g,Christian,PureGym Aalborg,5.0,very ni,325.0
84,532,You can find several training equipment for chest and shoulders in the first floor,8413a258-Christian.csv,,1.0,,,,you can fin,Christian,PureGym Aalborg,4.0,you can,326.0
85,533,A decent place to workout 👌🏼,8413a258-Christian.csv,1.0,,,,,a decent pl,Christian,PureGym Aalborg,4.0,a decen,327.0
86,534,24 hour open,8413a258-Christian.csv,1.0,,,,,24 hour ope,Christian,PureGym Aalborg,5.0,24 hour,328.0
87,535,Nice place😉,8413a258-Christian.csv,1.0,,,,,nice place😉,Christian,PureGym Aalborg,4.0,nice pl,329.0
88,536,"The balance at the gym have been broken for months, I have been waiting to weight myself and see how fat I am atm for too long",8413a258-Christian.csv,,-1.0,,,,the balance,Christian,PureGym Aarhus,1.0,the bal,330.0
89,537,"Has everything there needs to be at a gym but there is a bit crowded sometimes so you might have to wait in line for some things, but it's rare. Overall great gym",8413a258-Christian.csv,0.0,1.0,,,,has everyth,Christian,PureGym Aarhus,4.0,has eve,331.0
90,538,One of my go-to fitness world centres in Aarhus. Lots of options and lots of space.,8413a258-Christian.csv,1.0,,,,,one of my g,Christian,PureGym Aarhus,5.0,one of ,332.0
91,539,Predatory payment practices,8413a258-Christian.csv,-1.0,,,,,predatory p,Christian,PureGym Aarhus,1.0,predato,333.0
92,540,"The equipment is so worn out, the cable machines squeak and bind and there is only one lat pulldown machine. The hipthrust machine is far too tall and cannot be adjusted for women. In general, a super worn out gym and it doesn't help to paint the walls...",8413a258-Christian.csv,-1.0,-1.0,,,,the equipme,Christian,PureGym Aarhus,2.0,the equ,334.0
93,541,"Amazing gym with two floors, therefore enough space for everyone. Highly recommended for trainings in the heart of Aarhus.",8413a258-Christian.csv,1.0,,,,,amazing gym,Christian,PureGym Aarhus,5.0,amazing,335.0
94,543,Excellent gym that's just recently been revamped. Has everything including full machine setups and free weights. Spacious and has a nice dressing room and sauna. Conveniently located right in the middle of town.,8413a258-Christian.csv,1.0,1.0,,,1.0,excellent g,Christian,PureGym Aarhus,5.0,excelle,337.0
95,544,One of the best Fitness Worlds I have been in. It has a good selection of all the gear you need. Not too crowded in the morning and a major plus is that there is a sauna and a steam bath.,8413a258-Christian.csv,1.0,1.0,,,,one of the ,Christian,PureGym Aarhus,5.0,one of ,338.0
96,545,Among all the centers in Aarhus. This particular center has the sauna facility. New and well designed. Can be too much crowded after 15:00 until 20:00,8413a258-Christian.csv,-1.0,1.0,,,,among all t,Christian,PureGym Aarhus,5.0,among a,339.0
97,547,They say biggest gym in scandinavia. This place is really cool! People are lovely. Can bit crowded in aftetnoons,8413a258-Christian.csv,0.0,,,,,they say bi,Christian,PureGym Aarhus,5.0,they sa,341.0
98,548,Amazing cardio classes with great atmosphere!,8413a258-Christian.csv,1.0,,,,,amazing car,Christian,PureGym Aarhus,5.0,amazing,342.0
99,549,"Quantity over quality, very over rated, expensive. Poor cleaning and poorly organized both from the customers and the employees. Dumbbells lying everywhere, weight bars every where on the floor, racks missing dumbbells for days is a normal thing. So many machines that are so close to each other it is impossible to move around without hitting something by accident. Not very friendly staff.",8413a258-Christian.csv,-1.0,-1.0,-1.0,-1.0,,quantity ov,Christian,PureGym Aarhus,1.0,quantit,343.0
100,550,Fantastic place to stay fit!,8413a258-Christian.csv,1.0,,,,,fantastic p,Christian,PureGym Aarhus,5.0,fantast,344.0
101,551,well equiped and very kind staff ☺️ always smiling,8413a258-Christian.csv,,1.0,1.0,,,well equipe,Christian,PureGym Aarhus,5.0,well eq,345.0
102,9,There are some fantastic great instructors who inspire and help create a positive atmosphere. You always feel welcome on the different teams. All I miss is that more teams are being set up and preferably with different content. There are now well filled with participants on the current teams.,a1fa2be4-Sanna.csv,1.0,,1.0,,,there are s,Sanna,Fantastiske gode instruktører…,5.0,there a,8.0
103,10,"Beware with their subscription service and payment.A huge mess.They don't have quite general rules on payment and invoice.Should pay for my son via home page. But doesn't work. Bill/invoice 2 day payment deadline. No VAT number or sender. Chat to get help doesn't work, never anyone on.",a1fa2be4-Sanna.csv,-1.0,,,,,beware with,Sanna,Pas på med deres abonnement service og…,1.0,beware ,9.0
104,26,"Very clean fitness centre, very friendly staff",a1fa2be4-Sanna.csv,1.0,,1.0,1.0,,very clean ,Sanna,Meget rent fitnesscenter,5.0,very cl,27.0
105,27,"There is no improvement, and they just owe it to them not to own the building themselves, and that building owners do not allow ventilation. There has been really bad air for a month now, and it is simply too bad for a fitness centre. The air quality means quite a lot when you stand on treadmills. There is a need for a quick solution, because it is really hard to take off to work out in the indoor climate.Edited after answers:Center management, employees and puregym have already been contacted several times during October. Lots of excuses, or we send it forward without result. So I am not more optimistic when the answer here is enough we send it further.",a1fa2be4-Sanna.csv,-1.0,,,,,there is no,Sanna,Helt forferdelig luftkvalitet i…,1.0,there i,28.0
106,31,good training center you are really fresh after exercising,a1fa2be4-Sanna.csv,1.0,,,,1.0,good traini,Sanna,godt træningcenter man er rigtig frisk…,4.0,good tr,33.0
107,34,"Many of the cardio machines in the two centres I come in are not maintained properly. They continuously swing in how much resistance there is, even if you do not change the level of difficulty and they squeak violently. In addition, I regret to say that you should clean up more thoroughly and do it more often.",a1fa2be4-Sanna.csv,-1.0,-1.0,,-1.0,,many of the,Sanna,Slidte maskiner og beskidte centre :(,2.0,many of,37.0
108,36,Nice center good atmosphere fine changing,a1fa2be4-Sanna.csv,1.0,,,,,nice center,Sanna,Dejlig center god atmosfære fine…,5.0,nice ce,39.0
109,50,Good atmosphere and good staff.,a1fa2be4-Sanna.csv,1.0,,1.0,,,good atmosp,Sanna,Hyggeligt center,5.0,good at,56.0
110,57,Nice staff and good conditions and very social if you want to,a1fa2be4-Sanna.csv,1.0,,1.0,,,nice staff ,Sanna,Dejligt center,5.0,nice st,64.0
111,60,Always a Trustworthy Center,a1fa2be4-Sanna.csv,1.0,,,,,always a tr,Sanna,helt okay,5.0,always ,69.0
112,61,Good teams and good trainers.Gives sweat on the body and sore muscles.It is a good training environment at the center.,a1fa2be4-Sanna.csv,1.0,,1.0,,,good teams ,Sanna,Gode hold og gode trænere.,5.0,good te,70.0
113,66,"Missing a real bench for bench press and repair of curl machine on top, but besides there is a good training atmosphere and good employees who are accommodating, but it takes too long for the machines to be fixed",a1fa2be4-Sanna.csv,0.0,-1.0,1.0,,,missing a r,Sanna,Mangler en rigtig bænk til bænkpress og…,3.0,missing,76.0
114,89,"Too much noise/ loud music from the team room Too little space, you sit/stand too close",a1fa2be4-Sanna.csv,-1.0,,,,-1.0,too much no,Sanna,For meget støj,2.0,too muc,100.0
115,91,Generated that it was a good training today,a1fa2be4-Sanna.csv,1.0,,,,,generated t,Sanna,Genereret at det var en god træning …,4.0,generat,102.0
116,92,"Poor customer service fat physical attendance, even worse customer service online",a1fa2be4-Sanna.csv,-1.0,,-1.0,,,poor custom,Sanna,Dårlig kundeservice fed fysisk…,1.0,poor cu,103.0
117,93,Trains mostly on teams in the center. There is always a good mood and plenty of Swede on the forehead after team training. So it is just as it should be,a1fa2be4-Sanna.csv,1.0,,,,,trains most,Sanna,Træning puregym bondovej,5.0,trains ,104.0
118,106,Nice jam dance team in Frb Falkoner 17.45 today. Good energy skilled present instructors. The center itself is very worn out and dark and bad treadmills. Becoming my regular center valby I will have strength training in and hope for several dance teams,a1fa2be4-Sanna.csv,1.0,-1.0,1.0,,,nice jam da,Sanna,Dejligt jam dansehold i frb Falkoner…,5.0,nice ja,117.0
119,108,"After being a customer of SATS and always paying my bills (for overpriced) for 7 years, I changed my cell phone last month after I was hired by a new company. This meant that my bill was not paid on time - my mistake 100%. However, the next thing that happened was that SATS sent me directly to Indrum - an debt collection company of the worst drawer. Super disappointed with the treatment by SATS. On the other hand, really well to be made aware of how I can spend 400kr more every month than at a miserable company:-)",a1fa2be4-Sanna.csv,-1.0,,,,,after being,Sanna,Manglende tillid,1.0,after b,119.0
120,111,"Super center with always cute employees and a perfectly perfect center manager who always takes the time to talk.There's everything you need for your training.One minus is that SATS has decided not to have signs up referring to people not having to sit and talk on the phone,it's super disturbing for all of us who don't work out with music in their ears...",a1fa2be4-Sanna.csv,1.0,,1.0,,,super cente,Sanna,SATS VALLENSBÆK,5.0,super c,122.0
121,123,Clean and neat fitness centreLong opening hours and many different opportunities to train strength and fitness.,a1fa2be4-Sanna.csv,,,,1.0,,clean and n,Sanna,Rent og pænt fitnesscenter,5.0,clean a,135.0
122,135,"We and our boys asked about it several times and were told that the money would come soon. We never got them out and wouldn't pay for the last time, of course, since we didn't get the money they owed us. We didn't use the subscription the last time. Now we've canceled the boys and their friends do the same. They also say that the general one is wrong with their customer service. Now they've signed us up for the debt collection and have announced that we've never made any objections even though we have lots of evidence on it.",a1fa2be4-Sanna.csv,-1.0,,-1.0,,,we and our ,Sanna,HOLDER IKKE HVAD DE LOVER!!,1.0,we and ,150.0
123,153,"I was happy to train there but I don't think it's too bad that Sats is sending people into debt collection because there's been an error in payment last month. I didn't know anything you sent an e-mail and I'm responding to that, and now I'm in debt collection Thank you for the Sats",a1fa2be4-Sanna.csv,-1.0,,,,,i was happy,Sanna,Jeg var glad for at træne der men synes…,1.0,i was h,168.0
